cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
0,1,4,23,1,0.00118170800124062,1,as,CR
1,2,2,23,2,0.00115862500388175,1,as,HI
1,2,4,35,2,0.00115283299965085,1,as,HI
0,2,6,11,2,0.00130299999727868,1,as,HI
0,1,3,11,1,0.00140083299629623,1,as,CR
1,2,6,11,2,0.00116604199865833,1,as,HI
1,2,4,23,2,0.00117591700109188,1,as,HI
1,1,3,23,1,0.00113358400267316,1,as,CR
0,1,2,23,1,0.0011669589948724,1,as,CR
1,2,1,35,2,0.00127991699991981,1,as,HI
1,1,4,35,1,0.00116145799984224,1,as,CR
0,2,6,23,1,0.00118320799811045,0,as,MI
0,2,5,35,2,0.00121012500312645,1,as,HI
0,2,6,35,2,0.00118104200373637,1,as,HI
1,1,6,23,1,0.00118929200107232,1,as,CR
0,2,4,23,2,0.0011492499979795,1,as,HI
0,2,1,35,2,0.00139237500115996,1,as,HI
0,2,3,11,1,0.00123975000315113,0,as,MI
1,1,6,11,1,0.00124987500021234,1,as,CR
1,1,2,23,1,0.00123483400238911,1,as,CR
1,1,1,11,1,0.00114841699542012,1,as,CR
1,1,1,11,1,0.00112799999624258,1,as,CR
1,2,4,11,1,0.00134741600049892,0,as,MI
0,2,5,11,2,0.0011649580046651,1,as,HI
1,1,5,11,1,0.00119112499669427,1,as,CR
0,2,6,11,2,0.00116712499584537,1,as,HI
0,2,3,35,2,0.00114816700079245,1,as,HI
1,1,1,35,1,0.00120704200526234,1,as,CR
1,1,1,23,1,0.0011668750012177,1,as,CR
1,2,3,11,1,0.00117183299880708,0,as,MI
0,1,6,11,2,0.0011861669991049,0,as,FA
1,1,5,23,2,0.00116379099927144,0,as,FA
0,1,5,35,1,0.00116204199730419,1,as,CR
0,2,3,23,2,0.00113525000051595,1,as,HI
1,1,3,11,2,0.00120216600043932,0,as,FA
1,1,6,11,1,0.00126725000154693,1,as,CR
1,1,4,35,1,0.00116924999747425,1,as,CR
0,2,2,11,1,0.00118662499880884,0,as,MI
1,1,3,35,2,0.00115250000089873,0,as,FA
0,1,6,23,1,0.00116345800051931,1,as,CR
0,2,1,11,1,0.00120908299868461,0,as,MI
0,2,4,35,2,0.0011779159976868,1,as,HI
1,2,1,23,2,0.00113954200060107,1,as,HI
1,1,3,23,1,0.001362415998301,1,as,CR
1,2,2,11,1,0.0011598330020206,0,as,MI
0,1,5,35,2,0.00139762499748031,0,as,FA
1,2,2,23,2,0.00114908300020033,1,as,HI
0,1,1,11,1,0.00142058300116332,1,as,CR
0,1,1,11,1,0.00120950000564335,1,as,CR
1,1,6,23,2,0.00135579099878669,0,as,FA
1,2,1,11,1,0.00117250000039348,0,as,MI
0,2,4,23,2,0.00119012499635573,1,as,HI
0,2,6,35,2,0.00135929200041573,1,as,HI
1,1,3,23,1,0.00138479100132827,1,as,CR
0,1,4,11,2,0.0012523749974207,0,as,FA
1,2,6,23,2,0.00128470799973002,1,as,HI
1,2,6,23,2,0.00136758299777284,1,as,HI
0,2,2,23,2,0.00135545800003456,1,as,HI
1,2,5,35,2,0.00125937499979045,1,as,HI
1,1,6,35,2,0.00127958299708553,0,as,FA
1,2,4,23,1,0.00117224999848986,0,as,MI
1,2,3,35,2,0.00116433299990604,1,as,HI
1,2,4,23,2,0.00118112500058487,1,as,HI
0,1,5,23,1,0.00117458400200121,1,as,CR
0,1,3,35,1,0.00118112500058487,1,as,CR
0,1,1,23,1,0.00115091699990444,1,as,CR
1,2,2,35,2,0.00121841699728975,1,as,HI
1,1,2,35,1,0.00120787500054576,1,as,CR
0,1,2,11,1,0.00123266599985072,1,as,CR
0,1,6,35,2,0.0012037499982398,0,as,FA
