cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
0,2,4,23,2,0.00116679099937755,1,st,HI
0,2,3,11,2,0.00117479099935736,1,st,HI
0,1,3,23,2,0.00144079199981206,0,st,FA
1,1,5,11,2,0.00118974999986676,0,st,FA
0,2,5,11,2,0.00120741699993232,1,st,HI
1,2,5,35,2,0.00116212499960966,1,st,HI
0,1,3,35,2,0.00131099999998696,0,st,FA
1,1,6,35,1,0.00129562500023894,1,st,CR
0,1,6,23,2,0.00118537500020466,0,st,FA
0,1,2,23,1,0.00126691599962214,1,st,CR
1,1,2,11,1,0.00128125000082946,1,st,CR
0,2,2,35,2,0.0011755000004996,1,st,HI
1,2,4,35,2,0.00135845799923118,1,st,HI
1,2,2,23,1,0.00165966700024001,0,st,MI
1,2,2,11,1,0.00130116699983773,0,st,MI
0,2,5,35,2,0.00120487499953015,1,st,HI
1,1,3,23,1,0.0013642499998241,1,st,CR
1,2,4,11,1,0.00147054199987906,0,st,MI
1,2,5,11,1,0.00128670899994177,0,st,MI
1,2,6,23,1,0.00128524999945512,0,st,MI
1,2,6,11,1,0.00122837500020978,0,st,MI
0,1,3,11,1,0.0011610000001383,1,st,CR
0,2,4,35,2,0.00121704199955275,1,st,HI
0,2,6,23,1,0.00119833300050232,0,st,MI
0,1,5,35,1,0.00152720900041459,1,st,CR
1,2,5,23,1,0.00122208399989177,0,st,MI
0,2,4,23,1,0.00116075000005367,0,st,MI
0,2,4,11,2,0.00115954200009583,1,st,HI
0,1,1,23,1,0.00117941700045776,1,st,CR
0,1,6,23,1,0.00115008299962938,1,st,CR
0,1,1,11,1,0.00115291699967202,1,st,CR
0,1,5,23,1,0.00116433400035021,1,st,CR
1,1,1,23,1,0.00116675000026589,1,st,CR
1,2,1,23,1,0.00141891699968255,0,st,MI
1,2,1,35,1,0.00115945800007466,0,st,MI
1,1,3,35,1,0.00119462500060763,1,st,CR
0,1,2,35,1,0.00121300000046176,1,st,CR
1,2,6,35,2,0.00119474999974045,1,st,HI
1,1,5,35,1,0.00120383299963578,1,st,CR
1,2,3,11,1,0.00118800000018382,0,st,MI
1,2,5,23,1,0.00131566599975486,0,st,MI
0,1,4,35,1,0.00122987499980809,1,st,CR
1,2,6,35,2,0.00130820799950015,1,st,HI
0,2,2,23,1,0.00136870899950736,0,st,MI
1,2,1,23,1,0.00119300000005751,0,st,MI
0,1,4,23,1,0.00123458300004131,1,st,CR
0,2,4,11,2,0.0014557499998773,1,st,HI
1,2,6,11,1,0.00120349999997416,0,st,MI
1,2,3,23,1,0.00115641600041272,0,st,MI
0,1,1,35,1,0.00118579199988744,1,st,CR
0,1,1,11,2,0.00117062499975873,0,st,FA
0,1,2,23,1,0.00120199999946635,1,st,CR
0,2,1,11,1,0.00120125000012195,0,st,MI
0,2,5,11,2,0.00120074999995268,1,st,HI
1,2,2,35,2,0.0012107089996789,1,st,HI
1,1,3,11,2,0.00118995800039556,0,st,FA
0,2,2,35,1,0.00121879200014519,0,st,MI
0,1,1,11,1,0.00115379199996823,1,st,CR
0,1,5,11,2,0.00119170800007851,0,st,FA
1,2,5,35,2,0.00118695800028945,1,st,HI
0,1,4,35,1,0.0013116660002197,1,st,CR
0,2,2,23,2,0.00120708300073602,1,st,HI
1,2,4,23,1,0.00118229100007738,0,st,MI
1,2,5,35,2,0.00120733400035533,1,st,HI
1,1,4,11,1,0.00116062500001135,1,st,CR
1,2,3,35,2,0.00119870799971977,1,st,HI
1,1,2,35,1,0.00117599999975937,1,st,CR
0,1,2,35,1,0.00117429100009758,1,st,CR
1,2,4,11,1,0.0011703749996741,0,st,MI
0,1,3,35,1,0.00141175000044313,1,st,CR
0,1,4,11,1,0.00144204200023523,1,st,CR
1,2,1,11,1,0.00115620799988392,0,st,MI
0,1,4,11,1,0.00116849999994884,1,st,CR
0,2,5,23,1,0.00118145899978117,0,st,MI
0,2,1,23,1,0.00138045799940301,0,st,MI
0,1,6,35,1,0.00116500000058295,1,st,CR
1,2,3,11,1,0.00124454199976753,0,st,MI
0,2,4,23,1,0.00128212499930669,0,st,MI
1,2,5,11,1,0.00119583300056547,0,st,MI
1,1,4,11,1,0.00121554099951027,1,st,CR
1,1,3,35,1,0.00122154200016666,1,st,CR
0,1,5,35,1,0.00128779199985729,1,st,CR
1,1,1,35,1,0.00116245800018078,1,st,CR
1,1,3,35,1,0.00114091700015706,1,st,CR
1,2,3,11,1,0.00125841599947307,0,st,MI
0,2,5,23,1,0.00137345900020591,0,st,MI
0,1,5,35,1,0.00117491599939967,1,st,CR
0,1,6,35,1,0.00119879100020626,1,st,CR
0,1,2,23,1,0.001211207999404,1,st,CR
1,2,5,11,1,0.00122762499995588,0,st,MI
1,1,3,23,1,0.00114800000028481,1,st,CR
